Year,Chrome,IE,Firefox,Safari,Opera,Other
2009,0.0137,0.6497,0.2685,0.0279,0.0307,0.0095
2010,0.0594,0.5439,0.3115,0.0422,0.0237,0.0193
2011,0.1501,0.4403,0.2936,0.0594,0.0281,0.0285
2012,0.2599,0.3427,0.2269,0.0809,0.0377,0.0519
2013,0.3171,0.2655,0.1855,0.1066,0.0311,0.0942
2014,0.3585,0.1775,0.1477,0.1263,0.0426,0.1474
2015,0.4227,0.133,0.1182,0.1379,0.0406,0.1476
2016,0.4779,0.0894,0.0897,0.129,0.0545,0.1595
2017,0.5176,0.0477,0.0675,0.1454,0.0394,0.1824
2018,0.5631,0.032,0.0566,0.1444,0.0396,0.1643
2019,0.6172,0.027,0.0466,0.1523,0.0291,0.1278
2020,0.641,0.0168,0.047,0.1721,0.0226,0.1005
2021,0.6354,0.0081,0.0364,0.1945,0.0217,0.1039
2022,0.6306,0.0045,0.0418,0.1984,0.0233,0.1014
2023,0.6543,0.0025,0.03,0.1869,0.024,0.1023
2024,0.6441,0.0015,0.033,0.1882,0.0255,0.1077